date,year,serial,total_death_missing,cause_of_death,collapsed_cause,collapsed_region,number_children,lon,lat,random
2017-11-22,2017,2017.MMP001169,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Southern Asia,,61.913843,29.945985,0.827719399393773
2017-01-30,2017,2017.MMP00118,1,Mixed or unknown,Mixed or unknown,North America,,-111.2435,31.4246,0.9536084464262085
2017-01-30,2017,2017.MMP00119,1,Drowning,Drowning,Central America,,-99.5698487,27.4565378,0.8000218816908209
2017-01-30,2017,2017.MMP00120,1,Drowning,Drowning,Central America,,-100.5801829,28.6910517,0.517635194734255
2017-01-31,2017,2017.MMP00121,1,Drowning,Drowning,Central America,,-98.3662434,26.0525676,0.8289852870907712
2017-01-31,2017,2017.MMP00122,1,Drowning,Drowning,North America,,-100.4995214,28.7091433,0.5123561413823945
2017-01-31,2017,2017.MMP00125,1,Violence,Violence,Western Africa,,7.986535,16.9741689,0.7015794632246559
2017-02-01,2017,2017.MMP00127,1,Drowning,Drowning,Central America,,-100.5801829,28.6910517,0.23515504890848749
2017-02-01,2017,2017.MMP00128,1,Drowning,Drowning,Central America,,-100.5801829,28.6910517,0.7061714535154251
2017-02-01,2017,2017.MMP00130,1,Mixed or unknown,Mixed or unknown,North America,,-98.06452052,27.13414255,0.6889266496528239
2017-02-01,2017,2017.MMP00131,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Central America,,-108.7840381,26.0713913,0.4609710388041499
2017-02-01,2017,2017.MMP00132,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Southern Asia,,56.002705,30.3548893,0.7477390138464859
2017-02-02,2017,2017.MMP00134,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Southern Asia,,54.3568562,31.8974232,0.8848391292396529
2017-02-03,2017,2017.MMP00136,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Western Asia,,44.11010742,12.51627394,0.3941145166255484
2017-02-03,2017,2017.MMP00137,1,Drowning,Drowning,Europe,,19.679562,46.177566,0.41325493374288147
